,Title,Year,Audience,Runtime,Rating,Earnings,Color,Genres,G_Action,G_Adventure,G_Animation,G_Biography,G_Comedy,G_Crime,G_Documentary,G_Drama,G_Family,G_Fantasy,G_History,G_Horror,G_Music,G_Musical,G_Mystery,G_Romance,G_SciFi,G_Thriller,G_War,G_Western
97,Spider-Man 2,2004,PG-13,127,7.4,788976453,#be3f27,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
98,Furious 6,2013,PG-13,130,7.1,788680968,#75b7d0,"['Action', 'Crime', 'Thriller']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
99,Deadpool 2,2018,R,119,7.7,785896609,#cf7738,"['Action', 'Adventure', 'Comedy']",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,Deadpool,2016,R,108,8,782836791,#831a2a,"['Action', 'Adventure', 'Comedy']",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,Star Wars,1977,PG,121,8.6,775398007,#1d5b80,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
102,No Time to Die,2021,PG-13,163,7.3,774153007,#352e28,"['Action', 'Adventure', 'Thriller']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
103,Guardians of the Galaxy,2014,PG-13,121,8.1,773350147,#5175a6,"['Action', 'Adventure', 'Comedy']",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,The Da Vinci Code,2006,PG-13,149,6.6,760006945,#362727,"['Mystery', 'Thriller']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
105,Fast & Furious Presents: Hobbs & Shaw,2019,PG-13,137,6.5,759056935,#d9ac84,"['Action', 'Adventure', 'Thriller']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
106,Maleficent,2014,PG,97,7,758411779,#202b35,"['Adventure', 'Family', 'Fantasy']",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
